Function,DLL,Occurence,Family,Associated
memcpy,MSVCRT,7,"{""rozena"": 6, ""cobaltstrike"": 1}",
memmove,MSVCRT,6,"{""rozena"": 6}",
memset,MSVCRT,3,"{""rozena"": 2, ""cobaltstrike"": 1}",
rand,MSVCRT,6,"{""rozena"": 6}",
setlocale,MSVCRT,2,"{""rozena"": 2}",
signal,MSVCRT,7,"{""rozena"": 7}",
strchr,MSVCRT,3,"{""rozena"": 3}",
strerror,MSVCRT,3,"{""rozena"": 3}",
strlen,MSVCRT,6,"{""rozena"": 6}",
strncmp,MSVCRT,7,"{""rozena"": 7}",
vfprintf,MSVCRT,6,"{""rozena"": 6}",
wcslen,MSVCRT,3,"{""rozena"": 3}",
SHAutoComplete,SHLWAPI,3,"{""rozena"": 3}",
ColorHLSToRGB,SHLWAPI,3,"{""rozena"": 3}",
ColorRGBToHLS,SHLWAPI,3,"{""rozena"": 3}",
Ordinal_176,SHLWAPI,3,"{""rozena"": 3}",
UrlUnescapeW,SHLWAPI,3,"{""rozena"": 3}",
GetExtendedTcpTable,IPHLPAPI,3,"{""rozena"": 3}",
GetExtendedUdpTable,IPHLPAPI,3,"{""rozena"": 3}",
Ordinal_15,WS2_32,7,"{""rozena"": 7}",
Ordinal_115,WS2_32,7,"{""rozena"": 7}",
Ordinal_8,WS2_32,14,"{""rozena"": 14}",
Ordinal_9,WS2_32,14,"{""rozena"": 14}",
Ordinal_51,WS2_32,7,"{""rozena"": 7}",
Ordinal_14,WS2_32,7,"{""rozena"": 7}",
Ordinal_56,WS2_32,7,"{""rozena"": 7}",
WNetGetConnectionW,MPR,3,"{""rozena"": 3}",
CreatePropertySheetPageW,COMCTL32,3,"{""rozena"": 3}",
Ordinal_413,COMCTL32,3,"{""rozena"": 3}",
Ordinal_410,COMCTL32,3,"{""rozena"": 3}",
CreateStatusWindowW,COMCTL32,3,"{""rozena"": 3}",
ImageList_Create,COMCTL32,7,"{""rozena"": 7}",
PropertySheetW,COMCTL32,3,"{""rozena"": 3}",
Ordinal_17,COMCTL32,7,"{""rozena"": 7}",
ImageList_DrawEx,COMCTL32,3,"{""rozena"": 3}",
ImageList_ReplaceIcon,COMCTL32,7,"{""rozena"": 7}",
ImageList_Add,COMCTL32,3,"{""rozena"": 3}",
InitCommonControlsEx,COMCTL32,3,"{""rozena"": 3}",
ImageList_Destroy,COMCTL32,3,"{""rozena"": 3}",
VerQueryValueW,VERSION,3,"{""rozena"": 3}",
GetFileVersionInfoW,VERSION,3,"{""rozena"": 3}",
GetFileVersionInfoSizeW,VERSION,3,"{""rozena"": 3}",
CredUIPromptForCredentialsW,CREDUI,3,"{""rozena"": 3}",
SetupDiEnumDeviceInterfaces,SETUPAPI,3,"{""rozena"": 3}",
SetupDiGetDeviceInterfaceDetailW,SETUPAPI,3,"{""rozena"": 3}",
SetupDiGetClassDevsW,SETUPAPI,3,"{""rozena"": 3}",
SetupDiDestroyDeviceInfoList,SETUPAPI,3,"{""rozena"": 3}",
CertGetNameStringW,CRYPT32,3,"{""rozena"": 3}",
CertDuplicateCertificateContext,CRYPT32,3,"{""rozena"": 3}",
Ordinal_1,ACLUI,3,"{""rozena"": 3}",
SetSuspendState,POWRPROF,3,"{""rozena"": 3}",
IsPwrHibernateAllowed,POWRPROF,3,"{""rozena"": 3}",
IsPwrSuspendAllowed,POWRPROF,3,"{""rozena"": 3}",
WTSEnumerateSessionsW,WTSAPI32,3,"{""rozena"": 3}",
WTSQuerySessionInformationW,WTSAPI32,3,"{""rozena"": 3}",
WTSSendMessageW,WTSAPI32,3,"{""rozena"": 3}",
WTSDisconnectSession,WTSAPI32,3,"{""rozena"": 3}",
WTSLogoffSession,WTSAPI32,3,"{""rozena"": 3}",
WTSFreeMemory,WTSAPI32,3,"{""rozena"": 3}",
EnableThemeDialogTexture,UXTHEME,3,"{""rozena"": 3}",
NtQueryObject,NTDLL,3,"{""rozena"": 3}",
NtOpenSymbolicLinkObject,NTDLL,3,"{""rozena"": 3}",
NtQuerySystemInformation,NTDLL,3,"{""rozena"": 3}",
NtSetInformationProcess,NTDLL,3,"{""rozena"": 3}",Helper
NtQuerySymbolicLinkObject,NTDLL,3,"{""rozena"": 3}",
NtCreateKey,NTDLL,3,"{""rozena"": 3}",
NtOpenKey,NTDLL,3,"{""rozena"": 3}",
NtResumeProcess,NTDLL,3,"{""rozena"": 3}",Helper
NtOpenThread,NTDLL,3,"{""rozena"": 3}",Injection
NtQuerySemaphore,NTDLL,3,"{""rozena"": 3}",
NtQueryEvent,NTDLL,3,"{""rozena"": 3}",
NtSuspendProcess,NTDLL,3,"{""rozena"": 3}",Injection
NtQueryInformationProcess,NTDLL,7,"{""rozena"": 3, ""shelma"": 4}",Anti-Debugging
NtQueryInformationThread,NTDLL,3,"{""rozena"": 3}",
NtResumeThread,NTDLL,3,"{""rozena"": 3}",Injection
NtSuspendThread,NTDLL,3,"{""rozena"": 3}",
RtlCreateQueryDebugBuffer,NTDLL,3,"{""rozena"": 3}",
RtlQueryProcessDebugInformation,NTDLL,3,"{""rozena"": 3}",
NtLoadDriver,NTDLL,3,"{""rozena"": 3}",
RtlDestroyQueryDebugBuffer,NTDLL,3,"{""rozena"": 3}",
NtQueryMutant,NTDLL,3,"{""rozena"": 3}",
NtQuerySection,NTDLL,3,"{""rozena"": 3}",
CreateEventW,KERNEL32,3,"{""rozena"": 3}",
GetExitCodeThread,KERNEL32,3,"{""rozena"": 3}",
GetTickCount,KERNEL32,7,"{""rozena"": 7}",Anti-Debugging
GlobalAddAtomW,KERNEL32,3,"{""rozena"": 3}",
LocalAlloc,KERNEL32,7,"{""rozena"": 7}",Injection
HeapDestroy,KERNEL32,7,"{""rozena"": 7}",
FindResourceExW,KERNEL32,3,"{""rozena"": 3}",
GlobalAlloc,KERNEL32,7,"{""rozena"": 7}",Injection
GlobalReAlloc,KERNEL32,7,"{""rozena"": 7}",
GlobalLock,KERNEL32,7,"{""rozena"": 7}",
GlobalUnlock,KERNEL32,7,"{""rozena"": 7}",
TerminateThread,KERNEL32,3,"{""rozena"": 3}",Helper
Module32FirstW,KERNEL32,3,"{""rozena"": 3}",
Module32NextW,KERNEL32,3,"{""rozena"": 3}",
GetSystemTime,KERNEL32,3,"{""rozena"": 3}",Anti-Debugging
SystemTimeToFileTime,KERNEL32,4,"{""rozena"": 4}",
IsBadStringPtrW,KERNEL32,3,"{""rozena"": 3}",
OpenEventW,KERNEL32,3,"{""rozena"": 3}",
ReadProcessMemory,KERNEL32,11,"{""rozena"": 7, ""shelma"": 4}",Injection
lstrcmpiW,KERNEL32,3,"{""rozena"": 3}",
VirtualQueryEx,KERNEL32,3,"{""rozena"": 3}",Enumeration
SetFilePointer,KERNEL32,8,"{""rozena"": 8}",
GetSystemDirectoryW,KERNEL32,3,"{""rozena"": 3}",
SearchPathW,KERNEL32,3,"{""rozena"": 3}",
OpenThread,KERNEL32,3,"{""rozena"": 3}",Injection
GetThreadContext,KERNEL32,4,"{""rozena"": 3, ""shelm"": 1}",Injection
SuspendThread,KERNEL32,4,"{""rozena"": 3, ""shelm"": 1}",Injection
ResumeThread,KERNEL32,8,"{""rozena"": 7, ""shelm"": 1}",Injection
Thread32First,KERNEL32,3,"{""rozena"": 3}",Injection
