Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,{'msilzilla': 1}
OutputDebugStringA,KERNEL32,5,"{'sharps': 3, 'rozena': 1, 'cobaltstrike': 1}",Anti-Debugging
GetACP,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
LCMapStringEx,KERNEL32,3,{'sharps': 3}
LocalFree,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'malheur': 1, 'registrystorage': 1}"
VerSetConditionMask,KERNEL32,5,"{'sharps': 3, 'malheur': 1, 'cobaltstrike': 1}"
VerifyVersionInfoW,KERNEL32,5,"{'sharps': 3, 'malheur': 1, 'cobaltstrike': 1}"
FindClose,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}",Helper
GetModuleFileNameW,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
FindNextFileW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
QueryThreadCycleTime,KERNEL32,3,{'sharps': 3}
VirtualAllocExNuma,KERNEL32,3,{'sharps': 3},Injection
GetNumaProcessorNodeEx,KERNEL32,3,{'sharps': 3}
GetNumaHighestNodeNumber,KERNEL32,3,{'sharps': 3}
GetLogicalProcessorInformationEx,KERNEL32,3,{'sharps': 3},Anti-Debugging
GetThreadGroupAffinity,KERNEL32,3,{'sharps': 3}
GetSystemTimes,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
GetSystemTimeAsFileTime,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'registrystorage': 1}",Anti-Debugging
CreateFileMappingW,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
