Function,DLL,Occurence,Family,Associated
CreateCompatibleBitmap,GDI32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
StretchBlt,GDI32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",Spying
GetSaveFileNameW,COMDLG32,1,"{""shlem"": 1}",
CommDlgExtendedError,COMDLG32,1,"{""shlem"": 1}",
GetOpenFileNameW,COMDLG32,1,"{""shlem"": 1}",
SetFileSecurityW,ADVAPI32,1,"{""shlem"": 1}",
CheckTokenMembership,ADVAPI32,1,"{""shlem"": 1}",
AdjustTokenPrivileges,ADVAPI32,1,"{""shlem"": 1}",Injection
RegCreateKeyExW,ADVAPI32,1,"{""shlem"": 1}",
LookupPrivilegeValueW,ADVAPI32,1,"{""shlem"": 1}",
AllocateAndInitializeSid,ADVAPI32,1,"{""shlem"": 1}",
RegSetValueExW,ADVAPI32,1,"{""shlem"": 1}",
FreeSid,ADVAPI32,1,"{""shlem"": 1}",
SHGetFileInfoW,SHELL32,1,"{""shlem"": 1}",
ShellExecuteExW,SHELL32,1,"{""shlem"": 1}",
SHFileOperationW,SHELL32,1,"{""shlem"": 1}",
SHBrowseForFolderW,SHELL32,1,"{""shlem"": 1}",
SHGetPathFromIDListW,SHELL32,1,"{""shlem"": 1}",
SHGetFolderLocation,SHELL32,1,"{""shlem"": 1}",
SHChangeNotify,SHELL32,1,"{""shlem"": 1}",
SHGetMalloc,SHELL32,1,"{""shlem"": 1}",
OleInitialize,OLE32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
OleUninitialize,OLE32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
CLSIDFromString,OLE32,2,"{""shlem"": 1, ""cobaltstrike"": 1}",
CreateStreamOnHGlobal,OLE32,1,"{""shlem"": 1}",
SHAutoComplete,SHLWAPI,1,"{""shlem"": 1}",
InitCommonControlsEx,COMCTL32,1,"{""shlem"": 1}",
GetEnvironmentVariableA,KERNEL32,2,"{""rozena"": 1, ""cobaltstrike"": 1}",
GetProcessId,KERNEL32,1,"{""rozena"": 1}",Enumeration
K32GetProcessMemoryInfo,KERNEL32,1,"{""rozena"": 1}",
OutputDebugStringA,KERNEL32,2,"{""rozena"": 2}",Anti-Debugging
_beginthread,MSVCRT,2,"{""rozena"": 1, ""cobaltstrike"": 1}",
AddAtomA,KERNEL32,1,"{""rozena"": 1}",
CreateSemaphoreA,KERNEL32,2,"{""rozena"": 1, ""cobaltstrike"": 1}",
DeleteAtom,KERNEL32,1,"{""rozena"": 1}",
FindAtomA,KERNEL32,1,"{""rozena"": 1}",
FormatMessageA,KERNEL32,1,"{""rozena"": 1}",
GetAtomNameA,KERNEL32,1,"{""rozena"": 1}",
GetHandleInformation,KERNEL32,1,"{""rozena"": 1}",
IsDBCSLeadByteEx,KERNEL32,1,"{""rozena"": 1}",
RemoveVectoredExceptionHandler,KERNEL32,1,"{""rozena"": 1}",
SetProcessAffinityMask,KERNEL32,1,"{""rozena"": 1}",
TryEnterCriticalSection,KERNEL32,1,"{""rozena"": 1}",
_beginthreadex,MSVCRT,1,"{""rozena"": 1}",
_endthreadex,MSVCRT,1,"{""rozena"": 1}",
_memccpy,MSVCRT,1,"{""rozena"": 1}",
_setjmp,MSVCRT,1,"{""rozena"": 1}",
_strdup,MSVCRT,1,"{""rozena"": 1}",
_ultoa,MSVCRT,1,"{""rozena"": 1}",
atoi,MSVCRT,2,"{""rozena"": 1, ""cobaltstrike"": 1}",
getc,MSVCRT,1,"{""rozena"": 1}",
islower,MSVCRT,1,"{""rozena"": 1}",
isspace,MSVCRT,2,"{""rozena"": 1, ""cobaltstrike"": 1}",
isupper,MSVCRT,1,"{""rozena"": 1}",
isxdigit,MSVCRT,1,"{""rozena"": 1}",
localeconv,MSVCRT,1,"{""rozena"": 1}",
longjmp,MSVCRT,1,"{""rozena"": 1}",
printf,MSVCRT,1,"{""rozena"": 1}",
strtoul,MSVCRT,3,"{""rozena"": 1, ""cobaltstrike"": 2}",
ungetc,MSVCRT,1,"{""rozena"": 1}",
__current_exception_context,VCRUNTIME140,3,"{""cobaltstrike"": 3}",
__current_exception,VCRUNTIME140,3,"{""cobaltstrike"": 3}",
_exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{""cobaltstrike"": 4}",
__p___argc,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
__p___argv,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_c_exit,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_register_thread_local_exe_atexit_callback,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_get_initial_narrow_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
